time,symbol,name,close,rise,amount,ma_signal,macd_signal,rsi_signal,kdj_signal,predicted_amount,cumulative_ratio,ratio,avg_ratio,prev_ratio,up_count,down_count,up_ratio,cumulative_amount,cumulative_prev_amount,cumulative_avg_amount,description,rise_change_3d,macd_acceleration_ratio,composite_signal
2026-09-03 15:00:00,SH000852,中证1000,7600.72,0.22,133955482624.0,-1,2,-1,-1,376333434420.11,0.84,0.91,0.86,1.0017,398,582,40.61,369371782144.0,368743613440.0,438055446886.4,,0.07,3.0,0
2026-09-03 11:30:00,SZ399850,深证50,9170.22,0.27,78681299072.0,-2,-2,-1,-1,124994834948.14,0.75,0.75,0.75,0.8424,29,21,58.0,78681299072.0,93406389248.0,104329064908.8,,-1.81,-21.0,-5
2026-09-03 11:30:00,SH000688,科创50,1616.937,-0.04,31722288640.0,-1,1,-1,-1,50796677429.83,0.61,0.61,0.61,0.7978,278,320,46.49,31722288640.0,39763852736.0,51593935488.0,,-1.86,23.0,-1
2026-09-03 11:30:00,SH000699,科创200,1501.561,0.35,32098669504.0,-1,1,-1,-1,48603579199.56,0.78,0.78,0.78,0.9864,0,0,0.0,32098669504.0,32542349824.0,41116573971.2,,-0.91,9.0,-1
2026-09-03 11:30:00,SH000698,科创100,1829.847,0.06,31761324704.0,-2,-2,-1,-1,49250232392.1,0.68,0.68,0.68,0.888,46,51,47.42,31761324704.0,35765767040.0,46700241152.0,,-1.36,-7.0,-5
2026-09-03 11:30:00,SZ399019,创业200,4375.377,-0.01,45848131840.0,-1,1,-1,-1,69527887575.15,0.75,0.75,0.75,0.9021,0,0,0.0,45848131840.0,50824196544.0,60947711974.4,,-1.52,2.0,-1
2026-09-03 11:30:00,SH000852,中证1000,7608.95,0.33,235416299520.0,-1,2,-1,-1,354956328612.05,0.81,0.81,0.81,0.9331,461,488,48.58,235416299520.0,252282114304.0,290512518297.6,,-1.07,6.0,0
2026-09-03 11:30:00,SZ399673,创业50,3469.003,0.44,78193800320.0,-2,-2,-1,-1,121575333876.5,0.73,0.73,0.73,0.8404,0,0,0.0,78193800320.0,93044398848.0,106885060300.8,,-2.16,-24.0,-5
2026-09-03 11:30:00,SZ399005,中小100,8432.502,0.11,61043177216.0,-1,-2,-1,-1,95846773594.63,0.72,0.72,0.72,0.8091,0,0,0.0,61043177216.0,75441186560.0,85041461273.6,,-1.36,-3.0,-4
2026-09-03 11:30:00,SZ399330,深证100,5860.806,0.36,116762873856.0,-2,-2,-1,-1,183222806802.3,0.75,0.75,0.75,0.8349,1058,1770,37.41,116762873856.0,139851735040.0,156370238515.2,,-1.63,-17.0,-5
2026-09-03 11:30:00,SH000905,中证500,7762.598,0.43,178570156800.0,-1,1,-1,-1,276487977717.25,0.76,0.75,0.76,0.875,286,193,59.71,178570156800.0,204091094272.0,236521220659.2,,-1.22,0.0,-1
2026-09-03 11:30:00,SZ399303,国证2000,9981.047,0.33,360533548544.0,0,2,1,-1,543264506750.62,0.88,0.88,0.88,0.9632,0,0,0.0,360533548544.0,374319433728.0,411805252710.4,,-0.71,9.0,1
2026-09-02 15:00:00,SH000698,科创100,1828.81,-1.42,18514167616.0,-2,-2,-1,-1,53851795777.03,0.73,0.71,0.73,0.8377,16,83,16.16,54279934656.0,64793121664.0,74012913382.4,,-2.11,-2.0,-5
2026-09-02 15:00:00,SH000688,科创50,1617.6,-1.82,24577895104.0,-1,1,-1,-1,64681977294.25,0.75,0.77,0.76,0.9052,127,484,20.79,64341747840.0,71081908032.0,85626128268.8,,-2.52,28.0,-1
2026-09-02 15:00:00,SZ399330,深证100,5839.66,-1.98,70937543296.0,-2,-2,-1,-1,207722172332.51,0.85,0.8,0.84,0.8932,737,2119,25.81,210789278336.0,235980749568.0,246847501286.4,,-2.3,-16.0,-5
2026-09-02 15:00:00,SH000699,科创200,1496.34,-1.25,15805425152.0,-1,1,-1,-1,47998815639.06,0.76,0.74,0.76,0.7943,0,0,0.0,48347774976.0,60871668928.0,63306272275.2,,-1.59,13.0,-1
2026-09-02 15:00:00,SZ399850,深证50,9145.409,-2.08,47901982208.0,-2,-2,-1,-1,138840948322.38,0.86,0.78,0.84,0.8751,8,42,16.0,141308371456.0,161473383680.0,165247498598.4,,-2.35,-20.0,-5
2026-09-02 15:00:00,SZ399303,国证2000,9947.854,-1.04,171016909312.0,0,2,-1,-1,536482975535.85,0.88,0.82,0.87,0.8876,0,0,0.0,545336343040.0,614410160128.0,619280821350.4,,-1.34,11.0,1
2026-09-02 15:00:00,SH000905,中证500,7729.231,-1.65,103248897792.0,-1,1,-1,-1,304377050673.77,0.83,0.8,0.82,0.8338,61,437,12.25,307339992064.0,368593734912.0,369793525299.2,,-2.22,3.0,-1
2026-09-02 15:00:00,SZ399019,创业200,4375.74,-1.51,25535861696.0,-1,1,-1,-1,76199990593.21,0.82,0.81,0.82,0.7953,0,0,0.0,76360058240.0,96011381312.0,93097117401.6,,-1.84,5.0,-1
2026-09-02 15:00:00,SH000852,中证1000,7583.76,-1.4,116461499136.0,-1,2,-1,-1,363416387852.9,0.84,0.79,0.83,0.8483,134,849,13.63,368743613440.0,434667498752.0,440024685619.2,,-1.78,8.0,0
2026-09-02 15:00:00,SZ399673,创业50,3453.66,-2.59,48555572736.0,-2,-2,-1,-1,140973652218.39,0.86,0.84,0.85,0.8794,0,0,0.0,141599971584.0,161014398976.0,165093866048.0,,-2.89,-22.0,-5
2026-09-02 15:00:00,SZ399005,中小100,8423.421,-1.46,37852808192.0,-1,-2,-1,-1,111318462054.57,0.83,0.77,0.82,0.8322,0,0,0.0,113293994752.0,136144676864.0,135903384268.8,,-1.83,-1.0,-4
2026-09-02 11:30:00,SZ399673,创业50,3457.84,-2.48,93044398848.0,-2,-2,-1,-1,143053834930.59,0.87,0.87,0.87,0.9567,0,0,0.0,93044398848.0,97255969280.0,107380065894.4,,-3.63,-16.0,-5
2026-09-02 11:30:00,SZ399019,创业200,4389.08,-1.21,50824196544.0,-1,1,-1,-1,76693405315.44,0.82,0.82,0.82,0.765,0,0,0.0,50824196544.0,66435906176.0,61692157952.0,,-2.1,9.0,-1
2026-09-02 11:30:00,SZ399005,中小100,8439.751,-1.27,75441186560.0,-1,1,-1,-1,118562112436.1,0.87,0.87,0.87,0.8581,0,0,0.0,75441186560.0,87918366720.0,86480273536.0,,-2.53,3.0,-1
2026-09-02 11:30:00,SZ399303,国证2000,9965.496,-0.87,374319433728.0,0,2,1,-1,563421691264.59,0.91,0.91,0.91,0.8991,0,0,0.0,374319433728.0,416334681088.0,411428567552.0,,-1.56,14.0,1
2026-09-02 11:30:00,SH000699,科创200,1502.66,-0.84,32542349824.0,-2,1,-1,-1,49062361013.28,0.78,0.77,0.78,0.7902,0,0,0.0,32542349824.0,41183179968.0,41990637612.8,,-3.13,20.0,-2
2026-09-02 11:30:00,SH000688,科创50,1625.81,-1.32,39763852736.0,-1,1,-1,-1,63346209693.26,0.74,0.74,0.74,0.8478,141,471,23.04,39763852736.0,46902699328.0,53752260428.8,,-3.48,33.0,-1
2026-09-02 11:30:00,SH000905,中证500,7751.011,-1.37,204091094272.0,-1,1,-1,-1,314287517151.79,0.85,0.85,0.85,0.8382,76,420,15.32,204091094272.0,243478891776.0,240145295257.6,,-2.53,7.0,-1
2026-09-02 11:30:00,SZ399850,深证50,9159.549,-1.92,93406389248.0,-2,-2,-1,-1,148359204241.64,0.9,0.9,0.9,0.9581,8,42,16.0,93406389248.0,97495771520.0,104034528256.0,,-2.62,-17.0,-5
2026-09-02 11:30:00,SH000698,科创100,1837.58,-0.94,35765767040.0,-2,1,-1,-1,55309850170.67,0.75,0.75,0.75,0.8462,24,75,24.24,35765767040.0,42267651392.0,47861407040.0,,-4.11,5.0,-2
2026-09-02 11:30:00,SZ399330,深证100,5847.08,-1.86,139851735040.0,-2,-2,-1,-1,218706886139.75,0.89,0.89,0.89,0.9555,677,2196,23.56,139851735040.0,146361378048.0,157841541529.6,,-2.74,-12.0,-5
2026-09-02 11:30:00,SH000852,中证1000,7595.59,-1.25,252282114304.0,-1,2,-1,-1,379565293815.12,0.86,0.86,0.86,0.8548,145,844,14.66,252282114304.0,295152358656.0,292475328512.0,,-2.25,13.0,0
2026-09-01 15:00:00,SZ399019,创业200,4442.97,-0.9,29575475136.0,0,1,-1,-1,93080498068.74,1.05,0.91,1.02,0.9605,0,0,0.0,96011381312.0,99960333696.0,91318059520.0,,0.79,14.0,0
2026-09-01 15:00:00,SH000852,中证1000,7691.37,-1.02,139515140096.0,1,2,1,-1,427728416018.72,1.0,0.94,0.99,0.943,560,423,56.97,434667498752.0,460944670976.0,433449955430.4,,0.42,19.0,2
2026-09-01 15:00:00,SH000905,中证500,7858.521,-1.18,125114843136.0,0,1,-1,-1,364834478767.69,1.02,0.97,1.01,0.9418,256,226,53.11,368593734912.0,391352888576.0,361329581824.0,,0.53,13.0,0
2026-09-01 15:00:00,SZ399673,创业50,3545.61,-1.19,63758429696.0,-2,-2,-1,-1,165933785732.35,1.0,1.13,1.03,0.9693,0,0,0.0,161014398976.0,166113338752.0,161006972377.6,,0.47,-10.0,-5
2026-09-01 15:00:00,SZ399303,国证2000,10052.622,-0.7,198075479040.0,2,2,1,-1,604668518890.33,1.01,0.94,0.99,0.9616,0,0,0.0,614410160128.0,638949154304.0,609422010572.8,,0.56,19.0,3
2026-09-01 15:00:00,SZ399330,深证100,5957.89,-0.89,89619371520.0,-2,-2,-1,-1,238629385170.8,0.97,1.02,0.98,0.9273,1757,1107,61.35,235980749568.0,254483529728.0,243102470630.4,,0.38,-7.0,-5
2026-09-01 15:00:00,SZ399850,深证50,9339.307,-0.71,63977612160.0,-2,-2,-1,-1,163669199737.98,1.0,1.07,1.02,0.9104,24,26,48.0,161473383680.0,177360375296.0,160822639027.2,,0.51,-12.0,-5
2026-09-01 15:00:00,SH000699,科创200,1515.33,-2.32,19688488960.0,-1,1,-1,-1,59969496114.18,0.97,0.91,0.96,0.916,0,0,0.0,60871668928.0,66456306176.0,62572512640.0,,-0.62,27.0,-1
2026-09-01 15:00:00,SH000698,科创100,1855.06,-3.19,22525470272.0,-1,1,-1,-1,64406768855.38,0.87,0.84,0.86,0.7761,22,77,22.22,64793121664.0,83489547008.0,74709162342.4,,-0.73,12.0,-1
2026-09-01 15:00:00,SH000688,科创50,1647.53,-2.19,24179208704.0,-2,1,-1,-1,69710803688.94,0.82,0.74,0.81,0.7832,215,395,35.25,71081908032.0,90763438528.0,86468374707.2,,0.74,35.0,-2
2026-09-01 15:00:00,SZ399005,中小100,8548.61,-1.28,48226310144.0,-2,1,-1,-1,135210611296.2,1.03,0.99,1.02,0.965,0,0,0.0,136144676864.0,141079535616.0,132533435891.2,,0.09,7.0,-2
2026-09-01 11:30:00,SZ399303,国证2000,10083.3,-0.39,416334681088.0,1,2,1,-1,636297521239.06,1.04,1.04,1.04,1.0374,0,0,0.0,416334681088.0,401313156608.0,398753236070.4,,0.47,20.0,2
2026-09-01 11:30:00,SZ399850,深证50,9365.128,-0.43,97495771520.0,-2,-2,-1,-1,155113435341.73,0.96,0.96,0.96,0.91,29,20,59.18,97495771520.0,107134735360.0,101081076710.4,,-0.29,-13.0,-5
2026-09-01 11:30:00,SH000688,科创50,1659.39,-1.48,46902699328.0,0,1,-1,1,75305307532.5,0.87,0.87,0.87,0.9707,217,392,35.63,46902699328.0,48320356416.0,53855830297.6,,-0.17,36.0,2
2026-09-01 11:30:00,SZ399330,深证100,5977.19,-0.57,146361378048.0,-2,-2,-1,-1,229099768322.09,0.94,0.94,0.94,0.9496,1858,1024,64.47,146361378048.0,154132397824.0,155313545830.4,,-0.4,-6.0,-5
2026-09-01 11:30:00,SZ399019,创业200,4457.89,-0.56,66435906176.0,1,1,-1,-1,103335516152.83,1.13,1.13,1.13,1.1015,0,0,0.0,66435906176.0,60316520000.0,58708066675.2,,0.9,14.0,1
2026-09-01 11:30:00,SH000905,中证500,7904.931,-0.59,243478891776.0,1,1,-1,-1,377878476671.54,1.05,1.05,1.05,1.0585,315,177,64.02,243478891776.0,230020937472.0,232807431168.0,,0.12,14.0,1
2026-09-01 11:30:00,SH000852,中证1000,7720.96,-0.64,295152358656.0,1,2,1,-1,449964398732.3,1.04,1.04,1.04,1.0306,610,380,61.62,295152358656.0,286382705920.0,284326760908.8,,0.21,20.0,2
2026-09-01 11:30:00,SH000699,科创200,1520.45,-1.99,41183179968.0,0,1,-1,-1,62879117951.94,1.0,1.0,1.0,0.9873,0,0,0.0,41183179968.0,41713362432.0,40981833606.4,,-0.65,32.0,0
2026-09-01 11:30:00,SH000698,科创100,1868.2,-2.51,42267651392.0,-1,1,-1,-1,65759004693.78,0.88,0.88,0.88,0.8533,25,74,25.25,42267651392.0,49532112192.0,48019897408.0,,-0.36,18.0,-1
2026-09-01 11:30:00,SZ399673,创业50,3556.32,-0.89,97255969280.0,-2,-2,-1,-1,149559376641.55,0.93,0.93,0.93,0.9496,0,0,0.0,97255969280.0,102412694784.0,104697765811.2,,-0.7,-8.0,-5
2026-09-01 11:30:00,SZ399005,中小100,8580.046,-0.91,87918366720.0,0,1,-1,-1,138682987316.55,1.05,1.05,1.05,1.0677,0,0,0.0,87918366720.0,82343499264.0,84021977971.2,,-0.44,8.0,0
